Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2025-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6767.559229,8244.04566,10056.26139,11507.21715,12187.53636,13233.99052,13892.60514,14700.95981,16055.28779,16548.71739,16620.95456,17750.00956,18828.08706,19216.19724,20681.02303,20740.13258,21307.24825,21949.486,23700.63199,24171.83713,24845.65848,26736.30894,28171.9094,25134.77123,24093.14015,25712.3843,25119.66554,25813.57144,26129.83906,27458.22015,27441.55021,28440.04169,30082.15842,30645.8906,22759.80718,26749.32961,30975.99891,35718.75312,39498.59413
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,186.0892042,186.9090532,197.367547,225.4000794,208.9627171,226.8361346,240.9117939,243.7735929,257.1438231,281.5788937,276.7329242,294.8141621,311.4650534,389.7290241,463.4687751,479.0787979,468.7745218,518.3586847,571.6173172,634.4481161,773.3012053,777.6279596,725.5475111,732.3454611,650.3468414,554.2212959,578.3174517,664.7918129,704.1420658,728.2433186,822.4029989,864.174086,732.9109152,709.3235337,700.7721255,766.522931,746.7873347,767.3994115,697.0794153,670.4242125,706.727261,625.8278154,630.5123276,815.4322963,989.0154636,1126.297323,1235.266608,1381.552597,1447.545754,1408.753467,1628.905248,1761.989261,1732.038021,1706.022744,1690.166792,1498.87524,1334.4705,1528.104224,1552.073722,1507.0856,1351.591669,1562.416175,1679.327622,1571.449189,1615.396356
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9309914,138.7068217,178.9540884,198.8711157,221.7636539,254.1842491,274.2185536,376.223152,381.733238,452.0537055,560.6215055,606.6946763,651.4171345,637.0870991,625.0549418,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,413.7578947,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,121.9368324,127.4510399,133.8237835,139.0049801,148.5458833,155.5618966,162.1073403,144.940804,146.1861831,161.9179683,218.672141,195.8599873,230.0689042,280.6439674,368.2947251,413.36617,480.4472601,490.8395768,523.7813183,624.8707065,763.0119876,1328.793688,1164.188488,873.9794068,738.5456913,754.9055473,582.8850756,583.3175202,563.1171472,512.4777354,593.0246672,607.8404138,567.1533652,574.4729389,580.0081235,866.7316063,1069.59024,1091.831529,1141.486651,523.7972802,518.9692261,532.9727872,619.337335,697.4812563,838.2133917,999.770023,1234.641856,1405.880188,1666.520483,1453.495284,1662.633658,1844.054367,1941.118243,2131.606091,2221.350338,1860.727686,1630.039439,1574.230564,1720.140092,2216.385055,2030.861659,2112.794076,2138.473153,1841.855064,1411.337029
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,729.1119655,657.9826485,634.2214673,636.832811,650.4910944,772.4688326,697.5266024,770.1011401,807.4396284,907.7478931,965.8668405,881.9194881,668.7060175,449.7278949,334.9735903,404.2948185,531.1153665,521.7029149,429.1881269,392.725539,563.7337956,533.5862024,999.0658559,1133.66332,1451.471179,2145.886211,2930.444286,3515.05679,4578.155265,3645.148466,4101.637156,5184.152691,5702.453063,5688.579162,5649.687625,3641.728939,2051.814621,2790.718869,2860.093648,2493.678844,1759.356199,2303.908127,3682.113151,2916.136633,2665.874448
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,590.6077384,663.2942083,668.4545042,661.5467824,639.4847302,639.8659038,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4161351,911.3204654,1020.976181,728.5455237,831.1753441,1056.344812,1160.420471,1326.416524,1479.838846,1908.699007,2446.909499,2741.721365,3057.77257,3743.055299,4498.504868,4213.650076,4149.144699,4465.709143,4280.933163,4542.929036,4793.597511,4199.539129,4457.634122,5006.36013,5897.654526,6069.439031,6027.913507,7242.455131,7756.961887,9730.869219,11377.77574
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3935.411278,4169.695371,4940.296962,6151.02717,7139.574512,7925.415771,7721.288586,8167.922862,9409.508513,11996.40729,12474.92529,10465.26046,9697.52202,8082.09152,7808.130027,7911.984362,10539.11779,12828.15194,14599.03552,15714.92655,19563.65747,19533.26207,20099.53522,15916.83952,15748.53075,18443.25452,19130.15972,18247.99957,18536.50843,18875.28837,21810.25038,23511.29695,26528.13006,34063.5756,39021.11071,40829.81164,43467.19631,48336.25483,49132.49258,43975.00009,42746.83039,46657.14954,41500.55,42470.32304,44369.6713,38654.95288,40129.83858,40672.97174,42819.75775,41257.81646,37361.10701,42425.70665,42414.04799,46812.4261,49303.64917
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,212.9040793,210.8196896,225.8159204,243.9139476,256.1974883,263.9687128,276.9517271,307.5576259,329.4537301,357.7189664,402.8223104,470.2274325,602.5075443,1125.042995,1205.555446,1458.242745,1630.470224,1728.322736,2251.658483,2954.249231,2911.112997,2640.696513,2417.354064,2357.296571,2247.904845,2042.478603,2108.466104,2041.961563,2117.693747,2875.130836,2048.70631,1996.288237,1987.752909,2018.668018,2080.998294,2193.859607,2305.60995,2192.589278,2378.912833,2664.125201,2536.692326,2483.111875,2696.672125,3133.701879,3750.698259,4355.057569,4940.702265,6091.932064,5134.450061,5944.952173,6915.827681,7384.106828,7376.028296,7338.350927,6290.558795,6042.196754,6096.72395,6699.180582,6674.342244,5739.412836,6697.414985,7950.35582,7513.899079,7583.811701
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,2394.068115,2805.426427,3675.416814,9695.814188,23822.97156,27117.18807,31196.97918,35020.36044,29379.12774,34238.28645,42925.23388,44854.48003,39972.49467,34650.00412,32012.31415,29467.54198,23132.07397,23112.62342,21569.70689,23166.73059,26709.99344,25690.96863,25648.27278,25032.78227,25472.63966,27003.20068,28323.16509,27982.7957,24889.42692,25855.8605,29865.50235,27745.17081,27753.60895,29659.54286,33376.71523,38719.31383,44342.60483,45854.73252,50054.17007,37803.06637,44795.29493,51921.90451,53141.61243,53247.24095,52725.23584,44910.335,42721.09994,43733.61923,47135.35919,45938.60736,37991.7493,44118.50472,50759.75892,49850.68722,50273.50605
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,778.2517068,971.3380433,870.2174909,852.9724251,1176.200862,1281.83338,1275.078434,1063.932838,1141.952116,1329.561818,1322.714542,1372.507466,1409.370973,2097.89945,2844.969905,2026.684358,1946.919904,2126.48546,3282.063044,2511.973329,2747.502275,2764.086414,2914.767085,3537.747346,3915.034926,2905.775655,3436.078195,3477.30132,3992.703302,2374.573216,4315.334031,5709.247841,6789.996111,6931.855964,7437.562423,7357.616277,7663.212713,8146.7871,8218.992128,7705.542883,7637.014892,7141.475077,2569.699635,3320.477751,4242.020991,5067.653423,5869.38029,7185.251551,8944.110266,8150.23527,10260.13131,12704.28318,12949.71749,12963.67577,12233.14441,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938,10738.01792,13962.18941,14261.84657,13969.78366
